image_id,metric,round,score
combined_0006,DriftScore,0,0.0
combined_0006,DriftScore,1,0.04277282686673499
combined_0006,DriftScore,2,0.06065619781679168
combined_0006,DriftScore,3,0.07325448133853102
combined_0006,DriftScore,4,0.09305755535889955
combined_0006,DriftScore,5,0.1148330264525483
combined_0006,DriftScore,6,0.13532835481919442
combined_0006,DriftScore,7,0.15873976658412559
combined_0006,DriftScore,8,0.18396527838691515
combined_0006,DriftScore,9,0.20781064957566794
combined_0006,DriftScore,10,0.23411928607221033
combined_0006,DriftScore,11,0.6023914337212246
combined_0006,DriftScore,12,0.28710686276777647
combined_0006,DriftScore,13,0.5133502601069524
combined_0006,DriftScore,14,0.560109871351683
combined_0006,DriftScore,15,0.4941998551277128
combined_0006,DriftScore,16,0.8300724900496332
combined_0006,DriftScore,17,0.5187962573479288
combined_0006,DriftScore,18,0.9470569430168784
combined_0006,DriftScore,19,0.801431797997984
combined_0006,DriftScore,20,0.730679091364851
combined_0006,DriftScore_PD,0,0.0
combined_0006,DriftScore_PD,1,0.00533519871532917
combined_0006,DriftScore_PD,2,0.007565851788967848
combined_0006,DriftScore_PD,3,0.009137278112272421
combined_0006,DriftScore_PD,4,0.011607382213696837
combined_0006,DriftScore_PD,5,0.01432351004332304
combined_0006,DriftScore_PD,6,0.016879961360245943
combined_0006,DriftScore_PD,7,0.019800145578171526
combined_0006,DriftScore_PD,8,0.02294660860206932
combined_0006,DriftScore_PD,9,0.02592092204011149
combined_0006,DriftScore_PD,10,0.029202486854046583
combined_0006,DriftScore_PD,11,0.03259348217397928
combined_0006,DriftScore_PD,12,0.035811805709575616
combined_0006,DriftScore_PD,13,0.03910660364020329
combined_0006,DriftScore_PD,14,0.04249391245788762
combined_0006,DriftScore_PD,15,0.04579601952185233
combined_0006,DriftScore_PD,16,0.04910337663022801
combined_0006,DriftScore_PD,17,0.05246529437820701
combined_0006,DriftScore_PD,18,0.0557629177864227
combined_0006,DriftScore_PD,19,0.05908017071258081
combined_0006,DriftScore_PD,20,0.06236668354831636
combined_0006,DriftScore_SD,0,0.0
combined_0006,DriftScore_SD,1,0.0
combined_0006,DriftScore_SD,2,0.0
combined_0006,DriftScore_SD,3,0.0
combined_0006,DriftScore_SD,4,0.0
combined_0006,DriftScore_SD,5,0.0
combined_0006,DriftScore_SD,6,0.0
combined_0006,DriftScore_SD,7,0.0
combined_0006,DriftScore_SD,8,0.0
combined_0006,DriftScore_SD,9,0.0
combined_0006,DriftScore_SD,10,0.0
combined_0006,DriftScore_SD,11,0.004176884889602661
combined_0006,DriftScore_SD,12,0.0
combined_0006,DriftScore_SD,13,0.002447068691253662
combined_0006,DriftScore_SD,14,0.002687126398086548
combined_0006,DriftScore_SD,15,0.00155581533908844
combined_0006,DriftScore_SD,16,0.0053441524505615234
combined_0006,DriftScore_SD,17,0.0012022554874420166
combined_0006,DriftScore_SD,18,0.00612291693687439
combined_0006,DriftScore_SD,19,0.004013940691947937
combined_0006,DriftScore_SD,20,0.0028248578310012817
combined_0006,brisque,0,-87.54119873046875
combined_0006,brisque,1,-17.35369873046875
combined_0006,brisque,2,-19.66815185546875
combined_0006,brisque,3,-11.98553466796875
combined_0006,brisque,4,-14.65252685546875
combined_0006,brisque,5,-13.42303466796875
combined_0006,brisque,6,-6.60858154296875
combined_0006,brisque,7,-9.83612060546875
combined_0006,brisque,8,-9.05682373046875
combined_0006,brisque,9,-5.00897216796875
combined_0006,brisque,10,-7.03045654296875
combined_0006,brisque,11,-7.29901123046875
combined_0006,brisque,12,-4.10565185546875
combined_0006,brisque,13,-6.09295654296875
combined_0006,brisque,14,-5.44647216796875
combined_0006,brisque,15,-4.91717529296875
combined_0006,brisque,16,-5.88201904296875
combined_0006,brisque,17,-5.07537841796875
combined_0006,brisque,18,-4.99237060546875
combined_0006,brisque,19,-5.55584716796875
combined_0006,brisque,20,-4.53240966796875
combined_0006,niqe,0,-12.206779018007015
combined_0006,niqe,1,-6.814949032005922
combined_0006,niqe,2,-6.549930628060789
combined_0006,niqe,3,-6.2732117374355765
combined_0006,niqe,4,-5.698553252853506
combined_0006,niqe,5,-5.707318392841483
combined_0006,niqe,6,-5.934444760703287
combined_0006,niqe,7,-5.343356014745399
combined_0006,niqe,8,-5.064969096089546
combined_0006,niqe,9,-5.241892049970801
combined_0006,niqe,10,-4.741693923536784
combined_0006,niqe,11,-4.544409150772717
combined_0006,niqe,12,-4.752268971641536
combined_0006,niqe,13,-4.488279936485805
combined_0006,niqe,14,-4.116804842047634
combined_0006,niqe,15,-4.204934745655708
combined_0006,niqe,16,-3.8335260637570245
combined_0006,niqe,17,-3.8100027069525217
combined_0006,niqe,18,-4.284194785588661
combined_0006,niqe,19,-3.9226054287203773
combined_0006,niqe,20,-3.8114301201494634
combined_0006,piqe,0,-57.279293060302734
combined_0006,piqe,1,-16.837392807006836
combined_0006,piqe,2,-15.611656188964844
combined_0006,piqe,3,-11.31196117401123
combined_0006,piqe,4,-13.292145729064941
combined_0006,piqe,5,-13.112894058227539
combined_0006,piqe,6,-10.163861274719238
combined_0006,piqe,7,-12.405717849731445
combined_0006,piqe,8,-11.950855255126953
combined_0006,piqe,9,-9.615842819213867
combined_0006,piqe,10,-11.038958549499512
combined_0006,piqe,11,-11.10873794555664
combined_0006,piqe,12,-9.758660316467285
combined_0006,piqe,13,-10.636726379394531
combined_0006,piqe,14,-10.257944107055664
combined_0006,piqe,15,-9.5995512008667
combined_0006,piqe,16,-9.637191772460938
combined_0006,piqe,17,-9.240674018859863
combined_0006,piqe,18,-10.272198677062988
combined_0006,piqe,19,-8.868773460388184
combined_0006,piqe,20,-8.540508270263672
combined_0006,ilniqe,0,-55.12448880657627
combined_0006,ilniqe,1,-40.723490508794725
combined_0006,ilniqe,2,-41.18365417193465
combined_0006,ilniqe,3,-39.14350059799727
combined_0006,ilniqe,4,-37.82301940656594
combined_0006,ilniqe,5,-38.42009892981806
combined_0006,ilniqe,6,-40.22391044976049
combined_0006,ilniqe,7,-38.899752091858126
combined_0006,ilniqe,8,-37.68818530224212
combined_0006,ilniqe,9,-39.76080986893018
combined_0006,ilniqe,10,-39.96641414898353
combined_0006,ilniqe,11,-38.79912252254164
combined_0006,ilniqe,12,-42.83406840636452
combined_0006,ilniqe,13,-40.602845842265964
combined_0006,ilniqe,14,-42.51766295788424
combined_0006,ilniqe,15,-44.681335401476986
combined_0006,ilniqe,16,-39.37770208552494
combined_0006,ilniqe,17,-42.00879908325086
combined_0006,ilniqe,18,-47.641150940045335
combined_0006,ilniqe,19,-40.92433410754835
combined_0006,ilniqe,20,-42.975056874839595
combined_0006,cnniqa,0,0.6498204469680786
combined_0006,cnniqa,1,0.6930564045906067
combined_0006,cnniqa,2,0.692401647567749
combined_0006,cnniqa,3,0.5167922973632812
combined_0006,cnniqa,4,0.5298005938529968
combined_0006,cnniqa,5,0.5323411822319031
combined_0006,cnniqa,6,0.3954329490661621
combined_0006,cnniqa,7,0.4591110944747925
combined_0006,cnniqa,8,0.45687878131866455
combined_0006,cnniqa,9,0.3636093735694885
combined_0006,cnniqa,10,0.4259733259677887
combined_0006,cnniqa,11,0.431140661239624
combined_0006,cnniqa,12,0.34909290075302124
combined_0006,cnniqa,13,0.41652125120162964
combined_0006,cnniqa,14,0.4140787422657013
combined_0006,cnniqa,15,0.3493756055831909
combined_0006,cnniqa,16,0.4016685485839844
combined_0006,cnniqa,17,0.40154778957366943
combined_0006,cnniqa,18,0.3450424373149872
combined_0006,cnniqa,19,0.4061379134654999
combined_0006,cnniqa,20,0.40152692794799805
combined_0006,dbcnn,0,0.5824203491210938
combined_0006,dbcnn,1,0.5660800337791443
combined_0006,dbcnn,2,0.5586339235305786
combined_0006,dbcnn,3,0.5095720887184143
combined_0006,dbcnn,4,0.5218585729598999
combined_0006,dbcnn,5,0.5338538885116577
combined_0006,dbcnn,6,0.4852856397628784
combined_0006,dbcnn,7,0.5097092390060425
combined_0006,dbcnn,8,0.5137062668800354
combined_0006,dbcnn,9,0.4683392345905304
combined_0006,dbcnn,10,0.5022212266921997
combined_0006,dbcnn,11,0.5050490498542786
combined_0006,dbcnn,12,0.4592030942440033
combined_0006,dbcnn,13,0.4977642297744751
combined_0006,dbcnn,14,0.4994848072528839
combined_0006,dbcnn,15,0.44996753334999084
combined_0006,dbcnn,16,0.49111828207969666
combined_0006,dbcnn,17,0.4910057783126831
combined_0006,dbcnn,18,0.4399590790271759
combined_0006,dbcnn,19,0.48266541957855225
combined_0006,dbcnn,20,0.4862217605113983
combined_0006,hyperiqa,0,0.6448733806610107
combined_0006,hyperiqa,1,0.5918206572532654
combined_0006,hyperiqa,2,0.587724506855011
combined_0006,hyperiqa,3,0.525058388710022
combined_0006,hyperiqa,4,0.5267228484153748
combined_0006,hyperiqa,5,0.5292695760726929
combined_0006,hyperiqa,6,0.47223538160324097
combined_0006,hyperiqa,7,0.4965110719203949
combined_0006,hyperiqa,8,0.4983847439289093
combined_0006,hyperiqa,9,0.44950512051582336
combined_0006,hyperiqa,10,0.4757762849330902
combined_0006,hyperiqa,11,0.4772317409515381
combined_0006,hyperiqa,12,0.4291508197784424
combined_0006,hyperiqa,13,0.46351614594459534
combined_0006,hyperiqa,14,0.46461808681488037
combined_0006,hyperiqa,15,0.4248236119747162
combined_0006,hyperiqa,16,0.45371705293655396
combined_0006,hyperiqa,17,0.45833033323287964
combined_0006,hyperiqa,18,0.4166478216648102
combined_0006,hyperiqa,19,0.4490886628627777
combined_0006,hyperiqa,20,0.4481125771999359
combined_0006,musiq,0,68.2472152709961
combined_0006,musiq,1,66.29006958007812
combined_0006,musiq,2,64.91763305664062
combined_0006,musiq,3,63.650577545166016
combined_0006,musiq,4,62.13595199584961
combined_0006,musiq,5,62.66699981689453
combined_0006,musiq,6,59.81275939941406
combined_0006,musiq,7,59.281192779541016
combined_0006,musiq,8,58.26114273071289
combined_0006,musiq,9,55.4848518371582
combined_0006,musiq,10,56.780487060546875
combined_0006,musiq,11,56.362552642822266
combined_0006,musiq,12,53.5211181640625
combined_0006,musiq,13,55.012596130371094
combined_0006,musiq,14,54.58387756347656
combined_0006,musiq,15,52.7418327331543
combined_0006,musiq,16,53.411746978759766
combined_0006,musiq,17,53.46607971191406
combined_0006,musiq,18,51.99516296386719
combined_0006,musiq,19,52.9450569152832
combined_0006,musiq,20,52.50702667236328
combined_0006,maniqa,0,0.6325904726982117
combined_0006,maniqa,1,0.5700708031654358
combined_0006,maniqa,2,0.5688992738723755
combined_0006,maniqa,3,0.5485872030258179
combined_0006,maniqa,4,0.5252624750137329
combined_0006,maniqa,5,0.5236733555793762
combined_0006,maniqa,6,0.49658331274986267
combined_0006,maniqa,7,0.5002851486206055
combined_0006,maniqa,8,0.5024807453155518
combined_0006,maniqa,9,0.4703558683395386
combined_0006,maniqa,10,0.4808044731616974
combined_0006,maniqa,11,0.4831535816192627
combined_0006,maniqa,12,0.44793474674224854
combined_0006,maniqa,13,0.46444419026374817
combined_0006,maniqa,14,0.4657202363014221
combined_0006,maniqa,15,0.4339684545993805
combined_0006,maniqa,16,0.4529774785041809
combined_0006,maniqa,17,0.45682334899902344
combined_0006,maniqa,18,0.42198798060417175
combined_0006,maniqa,19,0.44222506880760193
combined_0006,maniqa,20,0.44355863332748413
combined_0006,tres,0,60.523277282714844
combined_0006,tres,1,58.936302185058594
combined_0006,tres,2,59.197940826416016
combined_0006,tres,3,56.09504318237305
combined_0006,tres,4,52.8891716003418
combined_0006,tres,5,54.5054817199707
combined_0006,tres,6,51.05535125732422
combined_0006,tres,7,51.78147888183594
combined_0006,tres,8,53.39744186401367
combined_0006,tres,9,48.66958999633789
combined_0006,tres,10,50.487831115722656
combined_0006,tres,11,52.5010986328125
combined_0006,tres,12,46.509910583496094
combined_0006,tres,13,49.73554611206055
combined_0006,tres,14,51.64881896972656
combined_0006,tres,15,46.25146484375
combined_0006,tres,16,50.056190490722656
combined_0006,tres,17,51.995887756347656
combined_0006,tres,18,45.63386154174805
combined_0006,tres,19,50.26229476928711
combined_0006,tres,20,52.35599136352539
combined_0006,clipiqa,0,0.5876312851905823
combined_0006,clipiqa,1,0.3448386490345001
combined_0006,clipiqa,2,0.32485076785087585
combined_0006,clipiqa,3,0.2532848119735718
combined_0006,clipiqa,4,0.2805190682411194
combined_0006,clipiqa,5,0.2822520136833191
combined_0006,clipiqa,6,0.22901372611522675
combined_0006,clipiqa,7,0.249610036611557
combined_0006,clipiqa,8,0.24552984535694122
combined_0006,clipiqa,9,0.22254183888435364
combined_0006,clipiqa,10,0.24442262947559357
combined_0006,clipiqa,11,0.21968452632427216
combined_0006,clipiqa,12,0.20332682132720947
combined_0006,clipiqa,13,0.21496781706809998
combined_0006,clipiqa,14,0.21786630153656006
combined_0006,clipiqa,15,0.20223648846149445
combined_0006,clipiqa,16,0.2266812026500702
combined_0006,clipiqa,17,0.22270360589027405
combined_0006,clipiqa,18,0.18986022472381592
combined_0006,clipiqa,19,0.21719929575920105
combined_0006,clipiqa,20,0.20585545897483826
combined_0006,clipiqa+,0,0.4875025153160095
combined_0006,clipiqa+,1,0.42292606830596924
combined_0006,clipiqa+,2,0.38334906101226807
combined_0006,clipiqa+,3,0.4171958863735199
