metric,mean_tau,std_tau,mean_rho,std_rho,inflection_acc,n_sequences
DriftScore_PD,1.0,0.0,1.0,0.0,0.0,10
musiq,0.884761904761905,0.026751565533691693,0.9748051948051948,0.009241790584237481,0.0,10
maniqa,0.825714285714286,0.014784928282152403,0.9514285714285713,0.007687609655557774,1.0,10
clipiqa,0.7171428571428573,0.0946697326321565,0.8622077922077922,0.07811761181122057,1.0,10
hyperiqa,0.7038095238095239,0.025714285714285703,0.8585714285714285,0.024889365590157538,0.8,10
dbcnn,0.6514285714285715,0.01914262023070645,0.7994805194805196,0.028394968660579382,0.0,10
topiq_nr,0.6438095238095239,0.049706622288380534,0.7906493506493506,0.04993434718211467,0.9,10
cnniqa,0.6314285714285715,0.05887070270676416,0.7762337662337663,0.052168525648213546,0.0,10
clipiqa+,0.5838095238095239,0.05286357747191588,0.7454545454545454,0.057184164526782016,1.0,10
DriftScore,0.5047619047619049,0.26454941798806353,0.5994805194805194,0.2970338552229218,0.8,10
tres,0.4838095238095238,0.14492472046954102,0.6288311688311689,0.16446994444088742,0.7,10
arniqa,0.39333333333333337,0.177768990712545,0.5061038961038962,0.21220322206527112,0.5,10
ilniqe,0.1561904761904762,0.19896329952487002,0.19415584415584414,0.23955407074026258,1.0,10
DriftScore_SD,-0.01915991752351113,0.46365145210505304,-0.014096952885736092,0.5718305025180029,0.6,10
brisque,-0.7053803267659031,0.0660375243646616,-0.8462581076555338,0.059729625278295784,1.0,10
piqe,-0.7866666666666667,0.056856424977521164,-0.9102597402597402,0.040127348300537526,1.0,10
niqe,-0.8847619047619049,0.02675156553369169,-0.9725974025974026,0.010589792276309707,1.0,10
